Obstacle_Designator    ,AIXM_NAME  ,ObstacleType(AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group,,,,,,,,,,
LTBH_41,BUILDING,BUILDING,400658.53N,0262504.90E,198.49,34.45,NO,,NO,,,,,,,,,,
LTBH_42,BUILDING,BUILDING,400658.78N,0262508.21E,243.23,34.45,NO,,NO,,,,,,,,,,
LTBH_43,BUILDING,BUILDING,400658.98N,0262506.08E,213.04,34.45,NO,,NO,,,,,,,,,,
LTBH_44,BUILDING,BUILDING,400659.04N,0262504.07E,198.49,34.45,NO,,NO,,,,,,,,,,
LTBH_45,BUILDING,BUILDING,400659.26N,0262507.11E,231.00,34.45,NO,,NO,,,,,,,,,,
LTBH_46,BUILDING,BUILDING,400659.31N,0262508.60E,229.30,14.76,NO,,NO,,,,,,,,,,
LTBH_47,BUILDING,BUILDING,400659.46N,0262505.33E,204.05,34.45,NO,,NO,,,,,,,,,,
LTBH_48,BUILDING,BUILDING,400659.50N,0262503.32E,191.67,34.45,NO,,NO,,,,,,,,,,
LTBH_49,BUILDING,BUILDING,400659.85N,0262506.39E,219.75,34.45,NO,,NO,,,,,,,,,,
LTBH_50,BUILDING,BUILDING,400659.89N,0262508.75E,252.44,34.45,NO,,NO,,,,,,,,,,
LTBH_51,BUILDING,BUILDING,400659.94N,0262504.53E,199.61,34.45,NO,,NO,,,,,,,,,,
LTBH_52,BUILDING,BUILDING,400700.03N,0262507.52E,234.61,34.45,NO,,NO,,,,,,,,,,
LTBH_53,BUILDING,BUILDING,400700.26N,0262503.53E,184.22,34.45,NO,,NO,,,,,,,,,,
LTBH_54,BUILDING,BUILDING,400700.45N,0262505.54E,206.09,34.45,NO,,NO,,,,,,,,,,
LTBH_55,BUILDING,BUILDING,400700.56N,0262508.36E,240.11,34.45,NO,,NO,,,,,,,,,,
LTBH_56,BUILDING,BUILDING,400700.62N,0262506.95E,221.47,34.45,NO,,NO,,,,,,,,,,
LTBH_57,BUILDING,BUILDING,400701.00N,0262504.44E,198.49,34.45,NO,,NO,,,,,,,,,,
LTBH_58,BUILDING,BUILDING,400701.19N,0262506.45E,212.75,34.45,NO,,NO,,,,,,,,,,
LTBH_59,BUILDING,BUILDING,400701.27N,0262508.06E,217.90,34.45,NO,,NO,,,,,,,,,,
LTBH_60,BUILDING,BUILDING,400701.49N,0262505.35E,198.49,34.45,NO,,NO,,,,,,,,,,
LTBH_61,BUILDING,BUILDING,400701.88N,0262508.64E,202.38,14.76,NO,,NO,,,,,,,,,,
LTBH_62,BUILDING,BUILDING,400701.94N,0262507.68E,199.73,34.45,NO,,NO,,,,,,,,,,
LTBH_63,BUILDING,BUILDING,400702.21N,0262506.02E,189.46,34.45,NO,,NO,,,,,,,,,,
LTBH_64,BUILDING,BUILDING,400702.62N,0262507.31E,192.46,34.45,NO,,NO,,,,,,,,,,
LTBH_65,BUILDING,BUILDING,400703.02N,0262506.77E,182.03,34.45,NO,,NO,,,,,,,,,,
LTBH_66,BUILDING,BUILDING,400703.43N,0262506.22E,174.87,34.45,NO,,NO,,,,,,,,,,
LTBH_67,BUILDING,BUILDING,400703.78N,0262507.98E,216.81,54.13,NO,,NO,,,,,,,,,,
LTBH_68,BUILDING,BUILDING,400704.16N,0262508.88E,224.23,54.13,NO,,NO,,,,,,,,,,
LTBH_69,BUILDING,BUILDING,400704.43N,0262507.08E,199.46,54.13,NO,,NO,,,,,,,,,,
LTBH_70,BUILDING,BUILDING,400704.85N,0262509.69E,217.48,54.13,NO,,NO,,,,,,,,,,
LTBH_71,BUILDING,BUILDING,400705.09N,0262506.22E,183.82,54.13,NO,,NO,,,,,,,,,,
LTBH_72,BUILDING,BUILDING,400705.37N,0262508.74E,208.46,54.13,NO,,NO,,,,,,,,,,
LTBH_73,BUILDING,BUILDING,400705.74N,0262505.43E,173.34,54.13,NO,,NO,,,,,,,,,,
LTBH_74,BUILDING,BUILDING,400705.97N,0262508.03E,199.11,54.13,NO,,NO,,,,,,,,,,
LTBH_75,BUILDING,BUILDING,400706.59N,0262507.44E,192.35,54.13,NO,,NO,,,,,,,,,,
LTBH_76,BUILDING,BUILDING,400706.64N,0262505.82E,178.32,54.13,NO,,NO,,,,,,,,,,
LTBH_77,BUILDING,BUILDING,400707.26N,0262506.46E,182.07,54.13,NO,,NO,,,,,,,,,,
LTBH_78,BUILDING,BUILDING,400729.66N,0262452.96E,52.92,34.45,YES,RED,NO,,,,,,,,,,
LTBH_79,BUILDING,BUILDING,400730.21N,0262543.19E,178.92,34.45,NO,,NO,,,,,,,,,,
LTBH_80,BUILDING,BUILDING,400730.37N,0262544.28E,201.33,34.45,NO,,NO,,,,,,,,,,
LTBH_81,BUILDING,BUILDING,400730.85N,0262543.43E,185.29,34.45,NO,,NO,,,,,,,,,,
LTBH_82,BUILDING,BUILDING,400730.69N,0262457.08E,51.30,24.61,NO,,NO,,,,,,,,,,
LTBH_83,BUILDING,BUILDING,400731.01N,0262544.53E,211.05,34.45,NO,,NO,,,,,,,,,,
LTBH_84,BUILDING,BUILDING,400731.19N,0262545.61E,227.38,34.45,NO,,NO,,,,,,,,,,
LTBH_85,BUILDING,BUILDING,400731.47N,0262543.49E,192.81,34.45,NO,,NO,,,,,,,,,,
LTBH_86,BUILDING,BUILDING,400731.36N,0262457.57E,51.10,24.61,NO,,NO,,,,,,,,,,
LTBH_87,BUILDING,BUILDING,400731.63N,0262544.58E,213.26,34.45,NO,,NO,,,,,,,,,,
LTBH_88,BUILDING,BUILDING,400731.81N,0262545.68E,231.30,34.45,NO,,NO,,,,,,,,,,
LTBH_89,BUILDING,BUILDING,400732.09N,0262543.55E,190.71,34.45,NO,,NO,,,,,,,,,,
LTBH_90,BUILDING,BUILDING,400732.25N,0262544.63E,212.65,34.45,NO,,NO,,,,,,,,,,
LTBH_91,BUILDING,BUILDING,400732.40N,0262458.48E,50.92,24.61,NO,,NO,,,,,,,,,,
LTBH_92,BUILDING,BUILDING,400732.84N,0262544.39E,205.18,34.45,NO,,NO,,,,,,,,,,
LTBH_93,BUILDING,BUILDING,400732.95N,0262458.11E,38.61,14.76,NO,,NO,,,,,,,,,,
LTBH_94,BUILDING,BUILDING,400734.06N,0262456.70E,33.76,14.76,NO,,NO,,,,,,,,,,
LTBH_95,BUILDING,BUILDING,400734.77N,0262458.59E,34.48,14.76,NO,,NO,,,,,,,,,,
LTBH_96,BUILDING,BUILDING,400734.82N,0262459.06E,34.54,14.76,NO,,NO,,,,,,,,,,
LTBH_97,BUILDING,BUILDING,400734.97N,0262539.46E,183.13,24.61,NO,,NO,,,,,,,,,,
LTBH_98,BUILDING,BUILDING,400735.94N,0262538.50E,173.31,24.61,NO,,NO,,,,,,,,,,
LTBH_99,BUILDING,BUILDING,400735.81N,0262459.64E,41.64,24.61,NO,,NO,,,,,,,,,,
LTBH_100,BUILDING,BUILDING,400736.20N,0262539.55E,186.95,24.61,NO,,NO,,,,,,,,,,
LTBH_101,BUILDING,BUILDING,400736.45N,0262540.61E,203.02,24.61,NO,,NO,,,,,,,,,,
LTBH_102,BUILDING,BUILDING,400736.50N,0262541.76E,220.33,24.61,NO,,NO,,,,,,,,,,
LTBH_103,BUILDING,BUILDING,400736.69N,0262542.62E,211.61,14.76,NO,,NO,,,,,,,,,,
LTBH_104,BUILDING,BUILDING,400736.60N,0262538.44E,174.26,24.61,NO,,NO,,,,,,,,,,
LTBH_105,BUILDING,BUILDING,400736.86N,0262539.49E,185.79,24.61,NO,,NO,,,,,,,,,,
LTBH_106,BUILDING,BUILDING,400737.11N,0262540.56E,202.17,24.61,NO,,NO,,,,,,,,,,
LTBH_107,BUILDING,BUILDING,400737.16N,0262541.71E,216.58,24.61,NO,,NO,,,,,,,,,,
LTBH_108,BUILDING,BUILDING,400737.52N,0262539.45E,184.82,24.61,NO,,NO,,,,,,,,,,
LTBH_109,BUILDING,BUILDING,400737.77N,0262540.52E,202.87,24.61,NO,,NO,,,,,,,,,,
LTBH_110,BUILDING,BUILDING,400739.67N,0262540.47E,195.88,34.45,NO,,NO,,,,,,,,,,
LTBH_111,BUILDING,BUILDING,400740.10N,0262539.80E,191.04,34.45,NO,,NO,,,,,,,,,,
LTBH_112,BUILDING,BUILDING,400746.56N,0262515.29E,46.36,14.76,NO,,NO,,,,,,,,,,
LTBH_113,BUILDING,BUILDING,400901.94N,0262615.80E,86.94,54.13,NO,,NO,,,,,,,,,,
LTBH_114,BUILDING,BUILDING,400905.79N,0262729.66E,183.96,14.76,NO,,NO,,,,,,,,,,
LTBH_115,BUILDING,BUILDING,400910.66N,0262652.55E,136.57,14.76,NO,,NO,,,,,,,,,,
LTBH_116,BUILDING,BUILDING,400918.62N,0262515.89E,177.28,73.82,NO,,NO,,,,,,,,,,
LTBH_117,BUILDING,BUILDING,400918.70N,0262517.99E,188.24,73.82,NO,,NO,,,,,,,,,,
LTBH_118,BUILDING,BUILDING,400918.99N,0262514.45E,175.13,73.82,NO,,NO,,,,,,,,,,
LTBH_119,BUILDING,BUILDING,400923.23N,0262733.96E,244.07,14.76,NO,,NO,,,,,,,,,,
LTBH_120,BUILDING,BUILDING,400923.45N,0262734.46E,244.42,14.76,NO,,NO,,,,,,,,,,
LTBH_121,BUILDING,BUILDING,400924.39N,0262512.11E,186.64,34.45,NO,,NO,,,,,,,,,,
LTBH_122,BUILDING,BUILDING,400925.11N,0262509.19E,190.15,44.29,NO,,NO,,,,,,,,,,
LTBH_123,BUILDING,BUILDING,400924.82N,0262512.54E,218.18,54.13,NO,,NO,,,,,,,,,,
LTBH_124,BUILDING,BUILDING,400925.54N,0262508.55E,188.87,44.29,NO,,NO,,,,,,,,,,
LTBH_125,BUILDING,BUILDING,400925.89N,0262508.00E,189.26,44.29,NO,,NO,,,,,,,,,,
LTBH_126,BUILDING,BUILDING,400925.75N,0262510.14E,222.94,63.98,NO,,NO,,,,,,,,,,
LTBH_127,BUILDING,BUILDING,400926.21N,0262507.54E,188.51,44.29,NO,,NO,,,,,,,,,,
LTBH_128,BUILDING,BUILDING,400926.35N,0262510.08E,190.96,34.45,NO,,NO,,,,,,,,,,
LTBH_129,BUILDING,BUILDING,400926.63N,0262509.20E,210.54,54.13,NO,,NO,,,,,,,,,,
LTBH_130,BUILDING,BUILDING,400926.83N,0262506.70E,176.07,34.45,NO,,NO,,,,,,,,,,
LTBH_131,BUILDING,BUILDING,400926.96N,0262508.69E,210.60,54.13,NO,,NO,,,,,,,,,,
LTBH_132,BUILDING,BUILDING,400927.12N,0262508.47E,210.18,54.13,NO,,NO,,,,,,,,,,
LTBH_133,BUILDING,BUILDING,400926.45N,0262507.10E,176.76,34.45,NO,,NO,,,,,,,,,,
LTBH_134,BUILDING,BUILDING,400927.73N,0262513.80E,188.65,24.61,NO,,NO,,,,,,,,,,
LTBH_135,BUILDING,BUILDING,400927.65N,0262509.20E,218.18,54.13,NO,,NO,,,,,,,,,,
LTBH_136,BUILDING,BUILDING,400928.56N,0262508.06E,223.78,63.98,NO,,NO,,,,,,,,,,
LTBH_137,BUILDING,BUILDING,400929.39N,0262509.74E,178.81,14.76,NO,,NO,,,,,,,,,,
LTBH_138,BUILDING,BUILDING,400928.30N,0262512.62E,208.33,44.29,NO,,NO,,,,,,,,,,
LTBH_139,BUILDING,BUILDING,400929.70N,0262506.23E,222.63,73.82,NO,,NO,,,,,,,,,,
LTBH_140,BUILDING,BUILDING,400929.61N,0262503.17E,186.43,63.98,NO,,NO,,,,,,,,,,
LTBH_141,BUILDING,BUILDING,400929.87N,0262439.00E,204.30,152.56,NO,,NO,,,,,,,,,,
LTBH_142,BUILDING,BUILDING,400930.27N,0262505.53E,219.64,73.82,NO,,NO,,,,,,,,,,
LTBH_143,BUILDING,BUILDING,400930.15N,0262437.09E,195.82,152.56,NO,,NO,,,,,,,,,,
LTBH_144,BUILDING,BUILDING,400930.65N,0262450.51E,181.08,73.82,NO,,NO,,,,,,,,,,
LTBH_145,BUILDING,BUILDING,400930.87N,0262504.85E,214.82,73.82,NO,,NO,,,,,,,,,,
LTBH_146,BUILDING,BUILDING,400930.33N,0262515.96E,174.75,24.61,NO,,NO,,,,,,,,,,
LTBH_147,BUILDING,BUILDING,400931.79N,0262503.79E,214.62,73.82,NO,,NO,,,,,,,,,,
LTBH_148,BUILDING,BUILDING,400932.54N,0262502.97E,212.06,73.82,NO,,NO,,,,,,,,,,
LTBH_149,BUILDING,BUILDING,400932.83N,0262459.68E,189.90,73.82,NO,,NO,,,,,,,,,,
LTBH_150,BUILDING,BUILDING,400933.06N,0262440.65E,177.76,63.98,NO,,NO,,,,,,,,,,
LTBH_151,BUILDING,BUILDING,400933.10N,0262505.66E,200.33,44.29,NO,,NO,,,,,,,,,,
LTBH_152,BUILDING,BUILDING,400933.28N,0262457.85E,183.87,73.82,NO,,NO,,,,,,,,,,
LTBH_153,BUILDING,BUILDING,400933.36N,0262502.38E,210.81,73.82,NO,,NO,,,,,,,,,,
LTBH_154,BUILDING,BUILDING,400933.73N,0262458.84E,191.73,73.82,NO,,NO,,,,,,,,,,
LTBH_155,BUILDING,BUILDING,400933.92N,0262504.90E,198.76,44.29,NO,,NO,,,,,,,,,,
LTBH_156,BUILDING,BUILDING,400934.07N,0262501.97E,216.71,83.66,NO,,NO,,,,,,,,,,
LTBH_157,BUILDING,BUILDING,400933.99N,0262457.30E,184.45,73.82,NO,,NO,,,,,,,,,,
LTBH_158,BUILDING,BUILDING,400934.44N,0262458.30E,191.18,73.82,NO,,NO,,,,,,,,,,
LTBH_159,BUILDING,BUILDING,400934.84N,0262501.62E,219.06,83.66,NO,,NO,,,,,,,,,,
LTBH_160,BUILDING,BUILDING,400934.78N,0262504.16E,195.77,44.29,NO,,NO,,,,,,,,,,
LTBH_161,BUILDING,BUILDING,400934.62N,0262434.70E,182.97,73.82,NO,,NO,,,,,,,,,,
LTBH_162,BUILDING,BUILDING,400935.41N,0262508.74E,267.39,103.35,NO,,NO,,,,,,,,,,
LTBH_163,BUILDING,BUILDING,400935.58N,0262501.24E,221.37,83.66,NO,,NO,,,,,,,,,,
LTBH_164,BUILDING,BUILDING,400937.70N,0262501.78E,195.74,44.29,NO,,NO,,,,,,,,,,
LTBH_165,BUILDING,BUILDING,400935.79N,0262503.55E,194.93,44.29,NO,,NO,,,,,,,,,,
LTBH_166,BUILDING,BUILDING,400935.86N,0262433.59E,178.48,63.98,NO,,NO,,,,,,,,,,
LTBH_167,BUILDING,BUILDING,400936.39N,0262509.86E,222.53,63.98,NO,,NO,,,,,,,,,,
LTBH_168,BUILDING,BUILDING,400936.46N,0262433.03E,191.43,73.82,NO,,NO,,,,,,,,,,
LTBH_169,BUILDING,BUILDING,400936.67N,0262500.78E,224.53,83.66,NO,,NO,,,,,,,,,,
LTBH_170,BUILDING,BUILDING,400937.10N,0262503.40E,202.35,44.29,NO,,NO,,,,,,,,,,
LTBH_171,BUILDING,BUILDING,400936.85N,0262436.26E,204.35,54.13,NO,,NO,,,,,,,,,,
LTBH_172,BUILDING,BUILDING,400937.03N,0262502.22E,196.58,44.29,NO,,NO,,,,,,,,,,
LTBH_173,BUILDING,BUILDING,400936.78N,0262507.58E,267.39,103.35,NO,,NO,,,,,,,,,,
LTBH_174,BUILDING,BUILDING,400937.25N,0262511.30E,221.98,73.82,NO,,NO,,,,,,,,,,
LTBH_175,BUILDING,BUILDING,400937.44N,0262459.83E,225.22,83.66,NO,,NO,,,,,,,,,,
LTBH_176,BUILDING,BUILDING,400937.70N,0262503.07E,201.34,44.29,NO,,NO,,,,,,,,,,
LTBH_177,BUILDING,BUILDING,400938.69N,0262712.81E,213.41,14.76,NO,,NO,,,,,,,,,,
LTBH_178,BUILDING,BUILDING,400938.02N,0262459.01E,182.20,44.29,NO,,NO,,,,,,,,,,
LTBH_179,BUILDING,BUILDING,400937.85N,0262435.46E,224.99,63.98,NO,,NO,,,,,,,,,,
LTBH_180,BUILDING,BUILDING,400938.15N,0262434.81E,216.33,54.13,NO,,NO,,,,,,,,,,
LTBH_181,BUILDING,BUILDING,400938.20N,0262510.69E,223.43,73.82,NO,,NO,,,,,,,,,,
LTBH_182,BUILDING,BUILDING,400938.44N,0262502.69E,199.68,44.29,NO,,NO,,,,,,,,,,
LTBH_183,BUILDING,BUILDING,400938.65N,0262458.70E,179.98,44.29,NO,,NO,,,,,,,,,,
LTBH_184,BUILDING,BUILDING,400938.43N,0262434.13E,226.97,63.98,NO,,NO,,,,,,,,,,
LTBH_185,BUILDING,BUILDING,400938.28N,0262450.67E,178.93,44.29,NO,,NO,,,,,,,,,,
LTBH_186,BUILDING,BUILDING,400952.91N,0262446.28E,172.49,44.29,NO,,NO,,,,,,,,,,
LTBH_187,BUILDING,BUILDING,400938.93N,0262459.61E,175.21,34.45,NO,,NO,,,,,,,,,,
LTBH_188,BUILDING,BUILDING,400938.63N,0262433.46E,229.31,63.98,NO,,NO,,,,,,,,,,
LTBH_189,BUILDING,BUILDING,400938.80N,0262436.18E,192.93,24.61,NO,,NO,,,,,,,,,,
LTBH_190,BUILDING,BUILDING,400939.08N,0262458.51E,178.80,44.29,NO,,NO,,,,,,,,,,
LTBH_191,BUILDING,BUILDING,400939.12N,0262502.46E,197.93,44.29,NO,,NO,,,,,,,,,,
LTBH_192,BUILDING,BUILDING,400938.99N,0262451.45E,176.94,44.29,NO,,NO,,,,,,,,,,
LTBH_193,BUILDING,BUILDING,400939.17N,0262435.56E,194.74,24.61,NO,,NO,,,,,,,,,,
LTBH_194,BUILDING,BUILDING,400939.28N,0262500.97E,180.97,34.45,NO,,NO,,,,,,,,,,
LTBH_195,BUILDING,BUILDING,400939.24N,0262447.52E,200.21,44.29,NO,,NO,,,,,,,,,,
LTBH_196,BUILDING,BUILDING,400939.42N,0262434.85E,227.15,54.13,NO,,NO,,,,,,,,,,
LTBH_197,BUILDING,BUILDING,400939.74N,0262502.17E,176.22,24.61,NO,,NO,,,,,,,,,,
LTBH_198,BUILDING,BUILDING,400939.69N,0262436.94E,236.94,63.98,NO,,NO,,,,,,,,,,
LTBH_199,BUILDING,BUILDING,400939.70N,0262434.22E,229.31,54.13,NO,,NO,,,,,,,,,,
LTBH_200,BUILDING,BUILDING,400939.73N,0262448.54E,178.74,24.61,NO,,NO,,,,,,,,,,
LTBH_201,BUILDING,BUILDING,400940.06N,0262501.10E,189.09,44.29,NO,,NO,,,,,,,,,,
LTBH_202,BUILDING,BUILDING,400939.98N,0262436.29E,239.90,63.98,NO,,NO,,,,,,,,,,
LTBH_203,BUILDING,BUILDING,400939.84N,0262509.81E,228.45,73.82,NO,,NO,,,,,,,,,,
LTBH_204,BUILDING,BUILDING,400940.25N,0262501.90E,203.83,54.13,NO,,NO,,,,,,,,,,
LTBH_205,BUILDING,BUILDING,400940.23N,0262454.31E,175.53,44.29,NO,,NO,,,,,,,,,,
LTBH_206,BUILDING,BUILDING,400940.50N,0262455.35E,174.91,44.29,NO,,NO,,,,,,,,,,
LTBH_207,BUILDING,BUILDING,400940.16N,0262435.57E,211.57,34.45,NO,,NO,,,,,,,,,,
LTBH_208,BUILDING,BUILDING,400940.57N,0262434.90E,244.42,63.98,NO,,NO,,,,,,,,,,
LTBH_209,BUILDING,BUILDING,400940.89N,0262509.27E,228.59,73.82,NO,,NO,,,,,,,,,,
LTBH_210,BUILDING,BUILDING,400941.26N,0262450.37E,185.29,44.29,NO,,NO,,,,,,,,,,
LTBH_211,BUILDING,BUILDING,400941.27N,0262449.30E,192.09,44.29,NO,,NO,,,,,,,,,,
LTBH_212,BUILDING,BUILDING,400941.27N,0262448.38E,200.21,44.29,NO,,NO,,,,,,,,,,
LTBH_213,BUILDING,BUILDING,400941.22N,0262501.04E,206.74,63.98,NO,,NO,,,,,,,,,,
LTBH_214,BUILDING,BUILDING,400941.58N,0262508.91E,226.22,73.82,NO,,NO,,,,,,,,,,
LTBH_215,BUILDING,BUILDING,400941.77N,0262502.71E,210.88,63.98,NO,,NO,,,,,,,,,,
LTBH_216,BUILDING,BUILDING,400942.01N,0262451.49E,173.84,44.29,NO,,NO,,,,,,,,,,
LTBH_217,BUILDING,BUILDING,400941.76N,0262436.25E,244.42,63.98,NO,,NO,,,,,,,,,,
LTBH_218,BUILDING,BUILDING,400942.15N,0262459.39E,177.71,44.29,NO,,NO,,,,,,,,,,
LTBH_219,BUILDING,BUILDING,400942.13N,0262501.80E,196.15,54.13,NO,,NO,,,,,,,,,,
LTBH_220,BUILDING,BUILDING,400942.33N,0262508.44E,220.77,73.82,NO,,NO,,,,,,,,,,
LTBH_221,BUILDING,BUILDING,400943.20N,0262656.31E,214.10,14.76,NO,,NO,,,,,,,,,,
LTBH_222,BUILDING,BUILDING,400943.68N,0262802.00E,315.23,14.76,NO,,NO,,,,,,,,,,
LTBH_223,BUILDING,BUILDING,400942.88N,0262459.10E,174.27,44.29,NO,,NO,,,,,,,,,,
LTBH_224,BUILDING,BUILDING,400943.07N,0262510.45E,213.26,73.82,NO,,NO,,,,,,,,,,
LTBH_225,BUILDING,BUILDING,400943.32N,0262450.61E,174.13,44.29,NO,,NO,,,,,,,,,,
LTBH_226,BUILDING,BUILDING,400944.19N,0262801.28E,316.20,14.76,NO,,NO,,,,,,,,,,
LTBH_227,BUILDING,BUILDING,400943.56N,0262446.69E,179.05,24.61,NO,,NO,,,,,,,,,,
LTBH_228,BUILDING,BUILDING,400943.56N,0262511.61E,207.15,73.82,NO,,NO,,,,,,,,,,
LTBH_229,BUILDING,BUILDING,400943.46N,0262502.21E,182.74,44.29,NO,,NO,,,,,,,,,,
LTBH_230,BUILDING,BUILDING,400944.06N,0262503.78E,181.75,44.29,NO,,NO,,,,,,,,,,
LTBH_231,BUILDING,BUILDING,400944.36N,0262518.92E,173.70,63.98,NO,,NO,,,,,,,,,,
LTBH_232,BUILDING,BUILDING,400944.46N,0262503.03E,178.68,44.29,NO,,NO,,,,,,,,,,
LTBH_233,BUILDING,BUILDING,400944.57N,0262501.68E,175.25,44.29,NO,,NO,,,,,,,,,,
LTBH_234,BUILDING,BUILDING,400944.62N,0262446.24E,192.12,44.29,NO,,NO,,,,,,,,,,
LTBH_235,BUILDING,BUILDING,400945.00N,0262441.38E,173.48,14.76,NO,,NO,,,,,,,,,,
LTBH_236,BUILDING,BUILDING,400944.00N,0262501.19E,177.38,44.29,NO,,NO,,,,,,,,,,
LTBH_237,BUILDING,BUILDING,400945.44N,0262516.15E,181.24,63.98,NO,,NO,,,,,,,,,,
LTBH_238,BUILDING,BUILDING,400945.90N,0262434.47E,264.11,83.66,NO,,NO,,,,,,,,,,
LTBH_239,BUILDING,BUILDING,400946.41N,0262439.47E,243.47,83.66,NO,,NO,,,,,,,,,,
LTBH_240,BUILDING,BUILDING,400946.33N,0262442.27E,218.60,63.98,NO,,NO,,,,,,,,,,
LTBH_241,BUILDING,BUILDING,400944.91N,0262503.42E,176.21,44.29,NO,,NO,,,,,,,,,,
LTBH_242,BUILDING,BUILDING,400946.59N,0262517.98E,173.34,63.98,NO,,NO,,,,,,,,,,
